Station Id,Name,Latitude,Longitude,Number of Bikes
7323,457 King St W,43.6452091,-79.3960744,16
7324,King St W / Charlotte St,43.645572,-79.39399,2
7326,Davenport Rd / Lansdowne Ave,43.671526,-79.44874,6
7327,Davenport Rd / Dovercourt Rd - SMART,43.6741219,-79.4352208,7
7328,Roxborough St W / Yonge St,43.678077,-79.390328,7
7329,Crawford St / Queen St W,43.645665,-79.415345,10
7331,Coxwell Ave / Plains Rd,43.69595,-79.328535,10
7332,200 Bloor St E,43.671561,-79.38117,15
7333,King St E / Victoria St,43.6495789,-79.3762096,18
7334,Simcoe St / Wellington St W North,43.6462176,-79.3855048,15
7335,Bay St / Bloor St W (West Side),43.669244,-79.3894,10
7336,Queen St E / Alton Av,43.663912,-79.327987,17
7337,Gerrard Square Mall (1010 Gerrard St E),43.668553,-79.338673,19
7338,Logan Ave / Bain Ave,43.6720273,-79.3470557,7
7339,Carlaw Ave / Strathcona Ave,43.6753188,-79.3462789,5
7340,Blake St / Boultbee Ave,43.672453,-79.338259,6
7341,Eastern Ave / Winnifred Ave,43.6592088,-79.3348396,13
7342,Morse St / Eastern Ave,43.657991,-79.340075,7
7343,Alton Ave / Dundas St E (Greenwood Park),43.66745,-79.329408,8
7344,Cherry Beach,43.637764,-79.345359,32
7345,Cherry Beach Sports Fields (55 Unwin Ave),43.6408346,-79.3429074,10
7346,Logan Av / Gerrard St E,43.6672144,-79.3452697,5
7347,Regal Rd / Dufferin St,43.673939,-79.441159,3
7348,Pape Ave / Gamble Ave,43.690237,-79.350119,6
7349,Gamble Ave / Broadview Ave,43.689211,-79.35438,7
7350,Broadview Ave / Westwood Ave,43.6848652,-79.356602,14
7351,Pretoria Ave / Broadview Ave,43.6783213,-79.35822,0
7352,Cosburn Ave / Donlands Ave,43.690537,-79.341307,2
7353,Fulton Ave / Pape Ave,43.68395,-79.347046,7
7354,Tommy Thompson Park (Leslie Street Spit),43.65222662225532,-79.32295440954084,10
7355,Beltline Trail / Chaplin Cres.,43.704461,-79.423122,1
7356,King St E / Berkeley St,43.651885,-79.3649,10
7357,Lake Shore Blvd E / Leslie St,43.659195,-79.329196,12
7359,Rosedale Park (20 Scholfield Ave),43.682645,-79.377557,0
7360,Concord Ave / Dewson St,43.656945,-79.424911,0
7361,Hocken Ave / Vaughan Rd,43.6817346,-79.4184725,7
7362,St Clair Ave W / Bathurst St.,43.683296,-79.418734,0
7363,Wells Hill Ave / St Clair Ave W,43.683351,-79.41562,6
7364,Queen St E / Nursewood Rd,43.673831,-79.281455,16
7365,Kewbeach Ave / Kenilworth Ave,43.666325,-79.3014,18
7366,Fort York Blvd / Bathurst St - SMART,43.639052,-79.399792,1
7367,Alma Ave / Gladstone Ave SMART,43.6448617,-79.42822,3
7368,Lisgar St / Dundas St W - SMART,43.6493472,-79.42668,5
7371,Eglinton Ave W / Henning Ave SMART,43.7063473,-79.40161,8
7373,George St / King St E,43.6509552,-79.3707,3
7374,Frederick St / The Esplanade,43.6487245,-79.36839,16
7375,Front St E / Scott St,43.6476616,-79.37549,9
7376,Frobisher Ave / Lascelles Blvd,43.696708,-79.40045,5
7377,Balliol St / Yonge St  SMART,43.6978701,-79.39419,7
7378,Yonge St / Davisville Ave,43.6975969,-79.39654,1
7379,Lawton Blvd / Yonge St,43.6910667,-79.39535,3
7380,Erskine Ave / Yonge St SMART,43.7112153,-79.39894,0
7381,Yonge St / Orchard View Blvd,43.7083577,-79.39886200000001,18
7383,12 Harbour St,43.6425636,-79.3762,5
7384,Cumberland St / Bay St SMART,43.6704537,-79.39014,9
7385,20 Charles St E,43.6691099,-79.38551,1
7386,D'Arcy St / McCaul St - SMART,43.655227,-79.39201,0
7387,Mortimer Ave / Carlaw Ave SMART,43.685167,-79.34962,6
7388,Broadview Subway Station,43.6772,-79.35858,2
7389,College Park - Gerrard Entrance,43.658938,-79.383518,1
7391,Yonge St / Dundas Sq,43.655766,-79.3802,15
7395,Dentonia Park,43.694341,-79.291416,9
7398,York St / Lake Shore Blvd W,43.641952,-79.380723,17
7399,Lower Jarvis St / Queens Quay E,43.64422,-79.36927,11
7400,Polson Pier,43.641675,-79.354006,17
7403,Lascelles Blvd / Eglinton Ave W,43.70547,-79.40355,3
7404,Roehampton Ave / Mount Pleasant Rd,43.70942,-79.39139,1
7406,Victoria St / Queen St E,43.652822,-79.378208,21
7408,University Ave / Armoury St,43.65263,-79.38766,18
7409,Isabella St / Church St,43.66834,-79.38235,11
7410,Howard St / Rose Ave,43.671278,-79.372127,6
7411,Little Norway Park,43.635023,-79.399505,10
7412,King St W / Crawford St,43.6417852,-79.4131148,3
7414,Keele St / Annette St,43.66402,-79.46418,10
7415,Keele St / Vine Ave,43.66686,-79.46526,10
7416,Spadina Ave / Blue Jays Way,43.641705,-79.393295,7
7417,King St W / Jordan St,43.648928,-79.378623,10
7418,College Park - Yonge St Entrance,43.65988,-79.38279,4
7420,Barton Ave / Howland Ave - SMART,43.66842,-79.410585,0
7422,Tyndall Ave / King St W - SMART,43.638426,-79.429142,12
7424,Merton St / Mount Pleasant Rd,43.697819,-79.38786,11
7425,The Queensway at South Kingsway,43.63632,-79.47307,8
7427,Northern Dancer Blvd / Lake Shore Blvd E,43.663162,-79.309765,15
7428,Woodbine Ave / Lake Shore Blvd E,43.665645,-79.304711,11
7429,Woodbine Subway Station,43.686442,-79.313404,3
7430,Marilyn Bell Park Tennis Court,43.633537,-79.437461,4
7431,Gerrard St E / Leslie St,43.669813,-79.3335,13
7432,Frederick St / King St E,43.651118,-79.369411,2
7433,Dundas St E / Boulton Ave - SMART,43.663148,-79.347938,5
7434,Via Italia / Mackay Ave,43.676697,-79.445029,7
7435,Rushton Rd / St Clair Ave W,43.68114,-79.4277,3
7437,Concord Ave / Bloor St W,43.66189,-79.42679,3
7438,Gothic Ave / Quebec Ave,43.65389,-79.4675,2
7440,Martin Goodman Trail / Remembrance Dr,43.63121,-79.41414,4
7441,Pacific Ave / Glenlake Ave,43.65716,-79.46478,14
7443,Dundas St E / George St,43.6574766,-79.373446,0
7444,Clendenan Ave / Rowland St - SMART,43.66073,-79.47149,3
